model_sector,model_code,model_name,statcan_naics_scope,source_table,reference_year,status
0,11,Agriculture forestry fishing & hunting,11,36-10-0001-01,2024,mapped
1,21,Mining quarrying oil & gas,21,36-10-0001-01,2024,mapped
2,22,Utilities,22,36-10-0001-01,2024,mapped
3,23,Construction,23,36-10-0001-01,2024,mapped
4,31-33,Manufacturing,31-33,36-10-0001-01,2024,mapped
5,42,Wholesale trade,42,36-10-0001-01,2024,mapped
6,44-45,Retail trade,44-45,36-10-0001-01,2024,mapped
7,48-49,Transportation & warehousing,48-49,36-10-0001-01,2024,mapped
8,51,Information & cultural industries,51,36-10-0001-01,2024,mapped
9,52,Finance & insurance,52,36-10-0001-01,2024,mapped
10,53,Real estate rental & leasing,53,36-10-0001-01,2024,mapped
11,54,Professional scientific & technical services,54,36-10-0001-01,2024,mapped
12,55,Management of companies & enterprises,55,36-10-0001-01,2024,mapped
13,56,Administrative support & waste services,56,36-10-0001-01,2024,mapped
14,61,Educational services,61,36-10-0001-01,2024,mapped
15,62,Health care & social assistance,62,36-10-0001-01,2024,mapped
16,71,Arts entertainment & recreation,71,36-10-0001-01,2024,mapped
17,72,Accommodation & food services,72,36-10-0001-01,2024,mapped
18,81,Other services except public administration,81,36-10-0001-01,2024,mapped
19,91,Public administration,91,36-10-0001-01,2024,mapped
