parameter,family,status,estimate,observations,sample_period,method,direct_eligible,rejected_observations,notes
output_shock_sd,shock-variance,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a frozen ex-post output-gap series aligned to the production output equation; SEP current-quarter residuals remain reference-only.
inflation_shock_sd,shock-variance,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires realized core-inflation observations plus the production inflation equation's material conditioning channels; SEP forecast-vintage residuals are not realized shocks.
growth_shock_sd,shock-variance,estimated-reference-only,2.3455131813,75,2001Q1-2019Q4,sample SD of demeaned Statistics Canada annualized quarterly real-GDP growth,false,1,"Realized GDP innovation scale is identified, but the production growth equation also conditions on output gap, credit spread and coordinated policy; retain as reference-only until those realized regressors are frozen for the same sample."
us_growth_shock_sd,shock-variance,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a frozen realized U.S. quarterly growth panel with the bilateral-policy conditioning variables.
export_shock_sd,shock-variance,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a frozen realized Canadian export-growth history mapped to the production bilateral export equation.
us_export_shock_sd,shock-variance,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a frozen realized U.S.-to-Canada export-growth history mapped to the production bilateral export equation.
fiscal_demand_multiplier,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires dated realized fiscal impulses with a compatible output-gap response panel.
real_rate_demand_sensitivity,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a realized output-gap panel and the production real-rate conditioning set; the existing SEP estimate is intentionally reference-only.
productive_supply_multiplier,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires dated productive fiscal impulses and realized inflation/output responses.
global_growth_sensitivity,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires a frozen global-growth series aligned to the realized Canadian output-gap equation.
phillips_curve_slope,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,"Requires realized core inflation, output gap, expectations, FX, import-price, oil and supply controls in one aligned panel."
fx_pass_through,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires realized core inflation and the full production inflation conditioning set; firm-level literature remains a mapping reference.
import_price_pass_through,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires realized aggregate import-price incidence aligned to the model's tariff-price construction.
oil_inflation_sensitivity,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,"Requires realized core inflation with output-gap, expectations, FX, import-price and supply controls."
canada_trade_drag_scale,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires realized bilateral tariff/barrier episodes and Canadian export/output responses.
us_retaliation_drag_scale,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires realized Canadian retaliation episodes and U.S.-to-Canada export/output responses.
tariff_revenue_elasticity_scale,multiplier,blocked-missing-realized-identification,,0,none,not estimated,false,0,Requires customs-revenue and tariff-base observations under dated effective tariff schedules.
