# EVIDENCE,parameter,evidence_tier,mapping_status,anchor_value,source_id,sample_period,method,notes
META,registry_id,v2-empirical-evidence-quarterly-2026-08-12
META,as_of,2026-08-12
EVIDENCE,neutral_rate,official-model-estimate,direct,2.75,boc_neutral_rate_2026,2026 assessment,multi-model official range,"Directly compatible with the model's nominal neutral-rate concept; midpoint of the Bank's 2.25%-3.25% range."
EVIDENCE,output_persistence,empirical-estimate,direct,0.8802835399,boc_sep_quarterly_estimation,2001Q1-2019Q4,OLS production-form output-gap equation,"Direct estimate from 75 consecutive real-time Bank staff vintages; SE 0.0540."
EVIDENCE,real_rate_demand_sensitivity,empirical-estimate,reference-only,-0.0003497742,boc_sep_quarterly_estimation,2001Q1-2019Q4,OLS production-form output-gap equation,"Sign conflicts with the model's positive demand-sensitivity restriction; retained as falsifying evidence rather than force-fit."
EVIDENCE,output_shock_sd,empirical-estimate,reference-only,0.004688623,boc_sep_quarterly_estimation,2001Q1-2019Q4,output-equation residual SD,"Staff current-quarter gap estimates are too smooth to identify realized macro innovation variance; retained as a lower-bound diagnostic."
EVIDENCE,rate_inflation_response,empirical-estimate,reference-only,0.13,boc_sep_quarterly_estimation,2001Q1-2019Q4,grid fit of exact clipped production policy rule,"Fits the staff implied-rate path with 0.0655 pp RMSE but is not a Governing Council reaction function, so it does not overwrite the production coefficient."
EVIDENCE,rate_output_response,empirical-estimate,reference-only,0,boc_sep_quarterly_estimation,2001Q1-2019Q4,grid fit of exact clipped production policy rule,"Boundary estimate from the staff implied-rate path; retained as reference-only."
EVIDENCE,max_quarterly_rate_step,empirical-estimate,reference-only,0.065,boc_sep_quarterly_estimation,2001Q1-2019Q4,grid fit of exact clipped production policy rule,"Staff implied-rate adjustment speed is not an observed Governing Council constraint; retained as reference-only."
EVIDENCE,inflation_persistence,empirical-estimate,direct,0.7371310581,boc_sep_quarterly_estimation,2001Q1-2019Q4,OLS production-form centered inflation equation,"Direct estimate from 75 consecutive real-time Bank staff vintages; SE 0.0785; expectations weight is derived as one minus persistence."
EVIDENCE,phillips_curve_slope,empirical-estimate,reference-only,3.951477288,boc_sep_quarterly_estimation,2001Q1-2019Q4,OLS production-form centered inflation equation,"95% interval crosses zero (-1.75 to 9.65); retained as weak evidence and not promoted."
EVIDENCE,inflation_shock_sd,empirical-estimate,reference-only,0.25288263,boc_sep_quarterly_estimation,2001Q1-2019Q4,inflation-equation residual SD,"Staff current-quarter residual variance is not equated with realized structural inflation shocks."
EVIDENCE,output_inflation_shock_correlation,empirical-estimate,reference-only,-0.006249264169,boc_sep_quarterly_residual_covariance,2001Q1-2019Q4,contemporaneous correlation of frozen production-form residuals,"Used as a calibrated dependence-shape anchor because the two residuals are aligned to the production equations, but retained reference-only for empirical-completeness scoring because the underlying residual variances are not identified as realized structural shocks."
EVIDENCE,growth_shock_sd,empirical-estimate,reference-only,2.3455131813,statcan_gdp_quarterly,2001Q1-2019Q4,sample SD of demeaned revised annualized quarterly real-GDP growth,"75 sanity-screened realized quarters; one chained-series break pseudo-observation is quarantined. The production growth residual also conditions on output gap, credit spread and coordinated policy, so this evidence does not overwrite the production shock variance."
EVIDENCE,fx_pass_through,empirical-estimate,reference-only,-0.000855721,boc_sep_quarterly_estimation,2001Q1-2019Q4,OLS production-form centered inflation equation,"Near-zero negative estimate with wide interval; omitted oil/import/supply terms make direct promotion inappropriate."
EVIDENCE,import_price_pass_through,empirical-estimate,reference-only,0.24,boc_tariff_passthrough_2026,2025-2026,difference-in-differences retail price study,"Tariffed-goods prices rose about 6% under a 25% tariff, implying roughly one-quarter retail pass-through; aggregate model coefficient has a different incidence mapping."
